outcome,policy,h,theta_A,P_A,lo,hi,se_theta_A,ci_theta_lo,ci_theta_hi,im_lo,im_hi,lam_star
unrate,-1,2,0.08004121540864916,0.593984962406015,-0.19594369233947395,0.4920262324725565,0.0738247781613468,-0.06265828232639195,0.18467676021766707,-0.29213271304950217,0.6286761865007496,0.19713854906204326
unrate,-1,3,0.07402958161515061,0.593984962406015,-0.21860194439424296,0.6986912886884642,0.11114192256060408,-0.13842526373387087,0.23182336897696848,-0.3403818871957864,0.9050530625849161,0.1823321176817598
unrate,-1,4,0.17991945146884775,0.593984962406015,-0.20330308211965845,0.8974487975795894,0.11619656860546936,-0.01806882077527283,0.3525468474802252,-0.35496165879183134,1.1299919687842028,0.4431349452843842
unrate,-1,5,0.24281392111260944,0.593984962406015,-0.19744632192388162,1.0867642043919081,0.12700138932353586,0.017337125603032855,0.4267049098824587,-0.3652535334869438,1.3603730237380005,0.5980416945921676
unrate,-1,6,0.19792327884054872,0.593984962406015,-0.24740546728389054,1.2202637056484407,0.1561551113463567,-0.09017591947710618,0.41749021131546865,-0.43738831529904704,1.549874553165141,0.4874777052924625
unrate,-1,7,0.324027337736953,0.593984962406015,-0.2798382985911183,1.4171541826118896,0.15488993562448108,0.08002752727721463,0.5884481331737914,-0.5044882318127599,1.765055675020762,0.7980673318336063
unrate,-1,8,0.38145001428810155,0.593984962406015,-0.2947324534148369,1.6315833360588474,0.19740655788100783,0.12571032362162937,0.8129344115879502,-0.5562021864264919,2.0387126432175595,0.9394972574132869
unrate,-1,9,0.4881075776491433,0.593984962406015,-0.2760251140106982,1.7420199987712568,0.1912794930674496,0.27604079740675946,0.9346354304176039,-0.54871256182686,2.1533895118418718,1.2021908856914083
unrate,-1,10,0.54293854839087,0.593984962406015,-0.29393720626029307,1.8617018914840675,0.21265678722854306,0.3014262949665343,1.023799919131004,-0.5934397696338112,2.29975606291985,1.337237535851587
unrate,-1,11,0.6675064709619535,0.593984962406015,-0.2303676882156207,2.017000732837011,0.23065681547425804,0.4547651618587526,1.2176293081472604,-0.5485962339873725,2.477541442740427,1.6440437155174037
unrate,-1,12,0.7307328708878206,0.593984962406015,-0.2505832519649276,2.1343791540501096,0.2539713169993651,0.5213757668299177,1.3366414957374748,-0.5956025412609394,2.621878339085834,1.7997679968162985
unrate,-1,13,0.7743756913266986,0.593984962406015,-0.25937392298722406,2.3090471296443553,0.28811246186055917,0.5487429981200656,1.4892290131734656,-0.6336526839176919,2.844630710169982,1.907258647156498
unrate,-1,14,0.8538088136617589,0.593984962406015,-0.24951520906441654,2.4106351668754327,0.33196770050146024,0.5869018920798621,1.6811146691563115,-0.6577975707765658,2.9738453508820566,2.1028994855002576
unrate,-1,15,0.9763986791722468,0.593984962406015,-0.13906020213714582,2.475225512148568,0.3551473241054159,0.6827871811633794,1.8655041428642745,-0.5642235560970226,3.0330350675544757,2.4048337838872
unrate,-1,16,0.9597083501362066,0.593984962406015,-0.2400209881882982,2.5118587110598214,0.36798736214835137,0.670345843640529,1.8910614197179794,-0.6927597602882096,3.082650563222743,2.3637261216317675
unrate,-1,17,1.073673520549279,0.593984962406015,-0.18314348430103927,2.6604655382553517,0.42340840151704573,0.7317617839610466,2.1732621437806787,-0.6715653121736659,3.2679623866548324,2.644418115426927
unrate,-1,18,1.128900683985235,0.593984962406015,-0.18785952055655153,2.7933434869622453,0.4204311449641928,0.7823260681191508,2.194578000116585,-0.6889159706087076,3.4153862441139116,2.780440573519189
unrate,-1,19,1.1094102059243045,0.593984962406015,-0.2326787424534238,2.748524265065373,0.4247421665242063,0.7459608039535621,2.1597531131739665,-0.743830273619753,3.3605884921439793,2.7324362479246753
unrate,-1,20,1.1601717797089601,0.593984962406015,-0.19966220516920463,2.8732701256578626,0.4399965331014632,0.8028279693773728,2.2668799270387514,-0.7246292895108764,3.5116911780801487,2.8574601240979938
unrate,-1,21,1.1640207998942536,0.593984962406015,-0.22576616881828215,2.8471661620087847,0.43852200916882816,0.7982228387907429,2.261225781748539,-0.754298481230767,3.4732258359656276,2.8669401182580683
unrate,-1,22,1.181466025570177,0.593984962406015,-0.23989370759546663,2.8789032848857365,0.47401087594786423,0.7815391267593579,2.377649353425945,-0.7932739531175228,3.524323304147154,2.909907062978398
unrate,-1,23,1.1928442722558974,0.593984962406015,-0.27610436643116737,2.9802866110124415,0.49164516601397756,0.7635419035026305,2.4322056519107558,-0.8516763626602974,3.653886054360956,2.9379312631487835
unrate,-1,24,1.27113427224925,0.593984962406015,-0.2806323104936024,3.0216233286041416,0.518699739910758,0.831564850550571,2.5646668418708622,-0.8838951451595117,3.700418243254488,3.1307566335027817
pce,1,1,0.03999776065492833,0.6691729323308271,-0.3858286269331437,0.35731560811509355,0.033044630866846295,-0.00886140540877417,0.1010094591302759,-0.5319376233032256,0.4555441441940128,0.12090232197966973
pce,1,2,-0.01617717097999151,0.6691729323308271,-0.6422897177135191,0.43888279400104035,0.04153743837318347,-0.09539469030318287,0.03782315410650264,-0.8579282029949796,0.5833660489080428,0.04889917591679252
